Target_genes	E2F4|Average	SRX027401|Adipocytes	SRX019963|GM06990	SRX150410|GM12878	SRX150445|HeLa	SRX668217|HRPEpiC	SRX150679|K-562	SRX194566|MCF-7	SRX194567|MCF-7	SRX150480|MCF_10A	STRING
APTX	80.888889	0	0	127	85	0	333	0	0	183	0
TMEM41A	80.777778	0	0	0	170	0	177	0	0	380	0
TBC1D2	80.777778	0	0	0	92	0	192	143	0	300	0
PRRG2	80.777778	0	0	178	0	0	0	180	0	369	0
PRR12	80.777778	0	0	178	0	0	0	180	0	369	0
PDIA6	80.777778	0	0	0	0	0	158	318	0	251	0
NOSIP	80.777778	0	0	178	0	0	0	180	0	369	0
ZDHHC17	80.666667	136	0	0	0	0	285	0	0	305	0
SLC2A9	80.666667	0	0	0	0	0	0	0	0	726	0
SLITRK3	80.555556	0	0	0	0	0	0	128	0	597	0
PRKAB1	80.555556	0	0	0	108	0	318	0	0	299	0
EPAS1	80.555556	0	0	0	185	0	0	0	0	540	0
RHCE	80.444444	160	0	0	0	0	264	0	0	300	0
PRKACA	80.444444	0	0	0	0	0	161	0	0	563	0
NBN	80.444444	0	0	0	0	0	294	0	0	430	0
MEN1	80.444444	0	0	0	155	0	212	0	0	357	0
MAP4K2	80.444444	0	0	0	155	0	212	0	0	357	0
MACO1	80.444444	160	0	0	0	0	264	0	0	300	0
C1orf21	80.444444	86	0	0	0	0	147	0	0	491	0
SLC37A1	80.333333	94	0	0	0	0	120	174	0	335	0
RUFY1	80.333333	0	0	0	0	0	107	0	0	616	0
RASSF7	80.333333	122	0	111	0	0	251	0	0	239	0
PPP1R3E	80.333333	0	0	0	149	0	311	0	0	263	0
PGK1	80.333333	0	0	0	251	0	177	0	0	295	0
LMNTD2	80.333333	122	0	111	0	0	251	0	0	239	0
BCL2L2-PABPN1	80.333333	0	0	0	149	0	311	0	0	263	0
BCL2L2	80.333333	0	0	0	149	0	311	0	0	263	0
ZDHHC6	80.222222	0	0	0	419	0	0	0	0	303	0
WBP1L	80.222222	0	0	0	0	0	0	0	0	722	0
VTI1A	80.222222	0	0	0	419	0	0	0	0	303	0
SLC25A23	80.222222	0	0	0	0	0	0	0	0	722	0
SEC11C	80.222222	0	0	0	0	0	0	0	0	722	0
MRPL58	80.222222	0	0	141	0	0	139	0	0	442	0
MOB1A	80.222222	0	0	0	152	0	94	153	0	323	0
DRG1	80.222222	0	0	143	80	0	183	0	0	316	0
CRB3	80.222222	0	0	0	0	0	0	0	0	722	0
OSBPL9	80.111111	0	0	0	0	0	303	0	0	418	0
LAMP3	80.111111	0	0	101	0	0	0	0	0	620	0
KANSL3	80.111111	0	0	179	0	0	385	0	0	157	0
FOCAD	80.111111	113	0	0	0	0	200	0	0	408	0
FER1L5	80.111111	0	0	179	0	0	385	0	0	157	0
C14orf119	80.111111	0	0	183	0	0	118	0	0	420	0
BACH1	80.111111	0	0	0	0	0	394	0	0	327	0
AEBP2	80.111111	109	0	0	0	0	142	0	0	470	0
ACIN1	80.111111	0	0	183	0	0	118	0	0	420	0
SLC25A48	80.000000	0	0	0	0	0	0	0	0	720	0
RWDD1	80.000000	0	0	110	126	0	217	0	0	267	0
PRKAR1B	80.000000	0	0	0	0	0	90	0	0	630	0
KIZ	80.000000	121	0	0	0	0	0	0	0	599	0
HSBP1	80.000000	0	0	0	114	0	196	0	0	410	0
FLOT2	80.000000	0	0	0	181	0	389	0	0	150	0
DHRS13	80.000000	0	0	0	181	0	389	0	0	150	0
CXCL14	80.000000	0	0	0	0	0	0	0	0	720	0
SARS2	79.777778	0	0	0	0	0	243	0	0	475	0
OAT	79.777778	0	0	0	0	0	109	0	0	609	0
MRPS12	79.777778	0	0	0	0	0	243	0	0	475	0
CAAP1	79.777778	0	0	467	110	0	0	0	0	141	0
SUFU	79.666667	0	0	0	0	0	99	173	0	445	0
STPG1	79.666667	0	0	0	118	0	168	0	0	431	0
RPS24	79.666667	0	0	0	0	0	126	0	0	591	0
POLR3A	79.666667	0	0	0	0	0	126	0	0	591	0
PLS1	79.666667	0	0	0	0	0	338	0	0	379	0
NIPAL3	79.666667	0	0	0	118	0	168	0	0	431	0
CDKN2AIP	79.666667	0	0	0	0	0	235	0	0	482	0
ACTR1A	79.666667	0	0	0	0	0	99	173	0	445	0
ABCA3	79.666667	0	0	97	0	0	295	0	0	325	0
GM2A	79.555556	174	0	0	0	0	0	0	0	542	0
FOXD2	79.555556	0	0	0	135	0	199	0	0	382	0
CARD19	79.555556	106	0	0	0	0	0	0	0	610	0
VPS4B	79.444444	0	0	0	174	0	187	0	0	354	0
UBN1	79.444444	0	0	0	105	0	248	0	0	362	0
SLC25A13	79.444444	160	0	0	0	0	314	0	0	241	0
GLYR1	79.444444	0	0	0	105	0	248	0	0	362	0
BMPR1A	79.444444	0	0	0	207	0	316	0	0	192	0
RAB14	79.333333	0	0	0	182	0	219	0	0	313	0
GSN	79.333333	0	0	0	182	0	219	0	0	313	0
FAM177A1	79.333333	0	0	0	142	0	106	0	0	466	0
ZNF547	79.222222	0	0	147	0	0	0	0	0	566	0
TRAPPC2B	79.222222	0	0	147	0	0	0	0	0	566	0
PHLDB2	79.222222	0	0	0	0	0	0	136	0	577	0
EEPD1	79.222222	153	0	0	0	0	214	0	0	346	0
DNAL4	79.222222	0	0	0	0	0	0	0	0	713	0
ATG5	79.222222	0	0	0	186	0	241	0	0	286	0
APMAP	79.222222	0	0	0	93	0	100	0	0	520	0
REEP3	79.111111	0	0	0	205	0	348	0	0	159	0
PYY	79.111111	0	0	0	0	0	137	0	0	575	0
NAGS	79.111111	0	0	0	0	0	137	0	0	575	0
MORC2	79.111111	0	0	0	0	0	99	0	0	613	0
MATN1	79.111111	92	0	0	0	0	143	0	0	477	0
JMJD1C	79.111111	0	0	0	205	0	348	0	0	159	0
CCDC125	79.111111	0	0	0	151	0	152	0	0	409	0
ZNF510	79.000000	0	0	0	0	0	204	0	0	507	0
ZMYM3	79.000000	0	0	0	0	0	93	0	0	618	0
TRA2A	79.000000	0	0	0	117	0	243	0	0	351	0
TPH2	79.000000	0	0	0	0	0	0	0	0	711	0
SELENOT	79.000000	0	0	0	263	0	189	0	0	259	0
PPP6R3	79.000000	0	0	94	175	0	69	0	0	373	0
PGAM5	79.000000	118	0	0	101	0	152	0	0	340	0
FAAP20	79.000000	0	0	0	0	0	140	0	0	571	0
EPC2	79.000000	0	0	0	0	0	281	0	0	430	0
CNNM4	79.000000	0	0	0	0	0	132	0	0	579	0
B4GALNT1	79.000000	0	0	0	0	0	339	0	0	372	0
TNFRSF12A	78.888889	0	0	0	83	0	201	141	0	285	0
THOC6	78.888889	0	0	0	83	0	201	141	0	285	0
SPATA5L1	78.888889	0	156	415	0	0	139	0	0	0	0
MAP3K13	78.888889	0	0	0	128	0	0	0	0	582	0
HCFC1R1	78.888889	0	0	0	83	0	201	141	0	285	0
GATM	78.888889	0	156	415	0	0	139	0	0	0	0
FAM219A	78.888889	0	0	0	0	0	176	0	0	534	0
FAM117B	78.888889	0	0	0	0	0	211	112	0	387	0
DNAI1	78.888889	0	0	0	0	0	176	0	0	534	0
DCAF12	78.888889	0	0	0	137	0	168	0	0	405	0
CLDN6	78.888889	0	0	0	83	0	201	141	0	285	0
CFAP36	78.888889	0	0	0	0	0	0	161	0	549	0
BTRC	78.888889	0	0	0	0	0	127	0	0	583	0
ACTG1	78.888889	0	0	0	0	0	325	0	0	385	0
ZNF398	78.777778	118	0	0	0	0	403	0	0	188	0
ZNF12	78.777778	0	0	0	0	0	141	199	0	369	0
PHC2	78.777778	0	0	0	0	0	118	0	0	591	0
CRK	78.777778	0	0	0	0	0	136	0	0	573	0
BNIP3L	78.777778	0	0	0	0	0	140	0	0	569	0
RAB10	78.666667	0	0	0	82	0	246	0	0	380	0
HPS6	78.666667	0	0	109	0	0	162	0	0	437	0
ARMH3	78.666667	0	0	109	0	0	162	0	0	437	0
AKNA	78.666667	158	0	0	0	0	97	0	0	453	0
PITRM1	78.555556	0	0	0	0	0	106	0	0	601	0
MPZL1	78.555556	0	0	0	190	0	153	0	0	364	0
TXK	78.444444	0	0	0	155	0	0	0	0	551	0
SNX11	78.444444	0	0	0	158	0	279	0	0	269	0
R3HCC1L	78.444444	0	0	0	196	0	165	0	0	345	0
POLDIP3	78.444444	0	0	224	0	0	173	0	0	309	0
CBX1	78.444444	0	0	0	158	0	279	0	0	269	0
SUPT3H	78.333333	0	0	0	184	0	314	0	0	207	0
SETSIP	78.333333	0	0	0	0	0	0	0	0	705	0
SCD	78.333333	0	0	0	0	0	135	0	0	570	0
RAB23	78.333333	0	0	0	273	0	171	0	0	261	0
NPIPA3	78.333333	168	0	0	0	0	185	0	0	352	0
NPIPA2	78.333333	168	0	0	0	0	185	0	0	352	0
MARCHF7	78.333333	0	0	0	119	0	274	0	0	312	0
LAPTM4A	78.333333	0	0	131	120	0	0	0	0	454	0
BTBD8	78.333333	0	0	0	0	0	0	0	0	705	0
AQP1	78.333333	0	0	0	0	0	705	0	0	0	0
RNF103	78.222222	0	0	0	0	0	137	0	0	567	0
HACE1	78.222222	0	0	0	160	0	270	0	0	274	0
GABPB1	78.222222	0	0	156	163	0	233	0	0	152	0
ATIC	78.222222	0	0	86	115	0	164	0	0	339	0
OTUD4	78.111111	0	0	0	0	0	313	0	0	390	0
MPPED1	78.111111	0	0	0	0	0	0	0	0	703	0
AURKAIP1	78.111111	0	0	132	94	0	185	0	0	292	0
RUBCN	78.000000	0	0	0	0	0	214	161	0	327	0
GPR84	78.000000	0	0	0	113	0	90	160	0	339	0
ZNF558	77.888889	0	0	0	0	0	88	0	0	613	0
PTDSS2	77.888889	0	0	111	0	0	246	0	0	344	0
PTCD2	77.888889	0	0	0	124	0	201	77	0	299	0
MRPS27	77.888889	0	0	0	124	0	201	77	0	299	0
MBD3L1	77.888889	0	0	0	0	0	88	0	0	613	0
HSDL2	77.888889	0	0	0	194	0	160	0	0	347	0
GTF2H3	77.888889	0	0	118	136	0	287	0	0	160	0
EIF2B1	77.888889	0	0	118	136	0	287	0	0	160	0
ARHGEF12	77.888889	129	0	0	0	0	205	0	0	367	0
ANO9	77.888889	0	0	111	0	0	246	0	0	344	0
ACAA2	77.888889	0	0	0	176	0	0	0	0	525	0
TBK1	77.777778	116	0	0	218	0	242	0	0	124	0
ENDOG	77.777778	0	0	0	0	0	262	0	0	438	0
C1orf56	77.777778	0	0	0	214	0	0	231	0	255	0
ZNF124	77.666667	0	0	116	0	0	0	0	0	583	0
TIMM50	77.666667	0	0	0	94	0	126	0	0	479	0
RNF113A	77.666667	0	0	0	171	0	195	0	0	333	0
PGBD2	77.666667	0	0	0	152	0	183	0	0	364	0
OTUD1	77.666667	121	0	0	0	0	286	0	0	292	0
NDUFA1	77.666667	0	0	0	171	0	195	0	0	333	0
KCTD7	77.666667	0	0	92	0	0	190	0	0	417	0
CROCC	77.666667	123	0	0	0	0	302	0	0	274	0
AP4E1	77.666667	0	0	210	203	0	165	0	0	121	0
ZSWIM8	77.555556	112	0	0	150	0	248	0	0	188	0
TXNRD2	77.555556	0	0	0	0	0	497	0	0	201	0
SNAI2	77.555556	0	0	0	0	0	0	0	0	698	0
NETO2	77.555556	0	0	0	0	0	220	0	0	478	0
MIB1	77.555556	0	0	0	0	0	198	0	0	500	0
LRRC37A3	77.555556	0	0	0	104	0	310	0	0	284	0
ARHGEF18	77.555556	0	0	0	0	0	280	0	0	418	0
AIG1	77.444444	0	0	0	0	0	176	0	0	521	0
TMEM65	77.333333	0	0	0	0	0	0	140	0	556	0
PGPEP1L	77.333333	0	0	0	114	0	0	0	0	582	0
LRP1	77.333333	0	0	142	0	0	0	174	0	380	0
GNPDA2	77.333333	0	0	0	0	0	394	0	0	302	0
GLDC	77.333333	0	0	0	0	0	0	0	0	696	0
FRAT1	77.333333	0	0	0	118	0	149	0	0	429	0
ERICH6	77.333333	0	0	0	137	0	0	0	0	559	0
CTDSPL	77.333333	0	0	0	0	0	225	0	0	471	0
COLQ	77.333333	0	0	0	0	0	0	0	0	696	0
SNAPC3	77.222222	0	0	0	0	0	178	0	0	517	0
PGD	77.222222	0	0	101	146	0	180	0	0	268	0
DHRS12	77.222222	0	0	0	108	0	186	0	0	401	0
SLC27A4	77.111111	0	0	0	141	0	412	0	0	141	0
NBPF1	77.111111	156	0	0	0	0	436	0	0	102	0
MAP11	77.111111	0	0	0	0	0	233	91	0	370	0
LAMTOR4	77.111111	0	0	0	0	0	233	91	0	370	0
ERRFI1	77.111111	128	0	0	0	0	183	0	0	383	0
EIF3L	77.111111	0	0	0	0	0	165	0	0	529	0
CCAR1	77.111111	0	0	0	0	0	171	0	0	523	0
AP3D1	77.111111	0	0	0	0	0	91	0	0	603	0
ANKRD54	77.111111	0	0	0	0	0	165	0	0	529	0
ACTR10	77.111111	0	0	0	116	0	178	0	0	400	0
MOCS2	77.000000	0	0	0	167	0	197	0	0	329	0
MED23	77.000000	0	0	150	0	0	430	0	0	113	0
ENPP3	77.000000	0	0	150	0	0	430	0	0	113	0
DTNB	77.000000	0	0	0	167	0	0	0	0	526	0
TMEM14C	76.888889	0	0	0	156	0	226	0	0	310	0
SUMF2	76.888889	158	0	0	104	0	246	0	0	184	0
RAB3A	76.888889	0	0	0	0	0	101	0	0	591	0
SRGAP1	76.777778	160	0	0	247	0	0	0	0	284	0
PNPLA6	76.777778	0	0	112	0	0	255	0	0	324	0
PLP2	76.777778	0	0	0	364	0	118	0	0	209	0
MAGIX	76.777778	0	0	0	364	0	118	0	0	209	0
ATP5MC2	76.777778	0	0	150	187	0	195	0	0	159	0
SLC35E2A	76.666667	0	0	174	0	0	200	0	0	316	0
PDCD11	76.666667	0	0	0	0	0	0	0	0	690	0
DVL3	76.666667	0	0	0	189	0	231	0	0	270	0
ATP5MD	76.666667	0	0	0	0	0	0	0	0	690	0
NUDT3	76.555556	0	0	0	0	0	235	0	0	454	0
KCNK1	76.555556	0	0	0	0	0	0	0	0	689	0
FAM160A1	76.555556	0	0	0	185	0	0	0	0	504	0
CTSF	76.555556	0	0	0	0	0	167	0	0	522	0
APP	76.555556	0	0	0	0	0	0	155	0	534	0
RPL8	76.444444	0	0	0	0	0	164	0	0	524	0
PPP1R2	76.444444	113	0	0	80	0	196	0	0	299	0
NCOA7	76.444444	0	0	0	0	0	320	0	0	368	0
CASTOR1	76.444444	0	0	0	0	0	0	0	0	688	0
SMARCA2	76.333333	151	0	0	0	0	198	0	0	338	0
RPL22	76.333333	0	0	0	0	0	283	0	0	404	0
RNF207	76.333333	0	0	0	0	0	283	0	0	404	0
ETV2	76.333333	0	0	0	149	0	225	0	0	313	0
ENDOV	76.333333	0	0	0	0	0	191	205	0	291	0
DIPK2A	76.333333	0	0	0	138	0	145	0	0	404	0
COX6B1	76.333333	0	0	0	149	0	225	0	0	313	0
TIGD5	76.222222	0	0	0	96	0	146	0	0	444	0
PTPN14	76.222222	0	0	0	136	0	0	0	0	550	0
PPP6R1	76.222222	0	0	106	0	0	184	0	0	396	0
MXD4	76.222222	0	0	0	0	0	105	0	0	581	0
EEF1D	76.222222	0	0	0	96	0	146	0	0	444	0
SPG11	76.111111	0	0	0	165	0	239	0	0	281	0
PPP2R5C	76.111111	170	0	0	0	0	0	0	0	515	0
MYLK	76.111111	152	0	0	0	0	0	0	0	533	0
FZD7	76.111111	0	0	0	0	0	0	0	0	685	0
DCBLD2	76.111111	0	0	0	0	0	0	212	0	473	0
MGAT4B	76.000000	0	0	0	0	0	0	0	0	684	0
EZH1	76.000000	0	0	98	0	0	415	0	0	171	0
CD82	76.000000	135	0	0	0	0	0	0	0	549	0
PCBP1	75.777778	0	0	0	0	0	139	0	0	543	0
MRPS2	75.777778	0	0	0	0	0	124	392	0	166	0
MEF2A	75.777778	0	0	0	173	0	231	0	0	278	0
C9orf116	75.777778	0	0	0	0	0	124	392	0	166	0
TRIM36	75.666667	0	0	0	116	0	142	0	0	423	0
SP3	75.666667	0	0	0	94	0	194	0	0	393	0
CCDC7	75.666667	0	0	0	216	0	149	0	0	316	0
CALCOCO1	75.666667	0	0	0	0	0	136	0	0	545	0
ZNF317	75.555556	0	0	0	0	0	225	0	0	455	0
SNX9	75.555556	0	0	0	0	0	311	0	0	369	0
PACSIN2	75.555556	0	0	0	0	0	112	0	0	568	0
ABHD12	75.555556	136	0	0	0	0	125	0	0	419	0
ZNF500	75.444444	0	0	0	0	0	269	0	0	410	0
TOR1A	75.444444	0	0	0	172	0	271	0	0	236	0
SF3B2	75.444444	0	0	0	181	0	240	0	0	258	0
SDHD	75.444444	0	0	393	0	0	0	0	0	286	0
RAPGEF1	75.444444	0	0	0	0	0	129	0	0	550	0
NR3C2	75.444444	0	0	0	0	0	0	129	0	550	0
MRM1	75.444444	0	0	0	97	0	164	0	0	418	0
GAL3ST3	75.444444	0	0	0	181	0	240	0	0	258	0
DHRS11	75.444444	0	0	0	97	0	164	0	0	418	0
BTBD1	75.444444	0	0	0	127	0	251	0	0	301	0
TEK	75.333333	0	0	0	165	0	0	0	0	513	0
STK25	75.333333	0	0	140	0	0	248	0	0	290	0
NOL3	75.333333	0	0	0	102	0	136	0	0	440	0
NARF	75.333333	0	0	225	0	0	121	0	0	332	0
LSM6	75.333333	0	0	89	89	0	85	156	0	259	0
CYBC1	75.333333	0	0	225	0	0	121	0	0	332	0
CD99L2	75.333333	0	0	0	0	0	229	0	0	449	0
ZNF345	75.222222	0	0	0	0	0	0	0	0	677	0
TRIB1	75.222222	0	0	0	174	0	190	0	0	313	0
SH3GL2	75.222222	0	0	0	521	0	0	0	0	156	0
PRKAA1	75.222222	0	0	0	181	0	212	0	0	284	0
C6orf141	75.222222	0	0	0	0	0	0	0	0	677	0
TXNDC5	75.111111	0	0	0	119	0	176	0	0	381	0
TPD52	75.111111	0	0	157	148	0	0	0	0	371	0
TOB1	75.111111	111	0	0	0	0	245	0	0	320	0
TCF25	75.111111	0	0	0	149	0	232	0	0	295	0
RBM5	75.111111	0	0	0	203	0	0	0	0	473	0
MAFA	75.111111	0	0	0	0	0	133	0	0	543	0
KIAA0556	75.111111	0	0	0	0	0	144	0	0	532	0
GTF3C1	75.111111	0	0	0	0	0	144	0	0	532	0
AKAP9	75.111111	0	0	0	126	0	376	0	0	174	0
TEFM	75.000000	0	0	158	101	0	108	129	0	179	0
TAOK1	75.000000	0	0	0	150	0	168	0	0	357	0
MST1R	75.000000	0	0	0	234	0	190	0	0	251	0
DUSP6	75.000000	0	0	0	0	0	0	207	0	468	0
CBLL1	75.000000	0	0	0	0	0	383	0	0	292	0
ZBTB26	74.888889	0	0	0	0	0	0	181	0	493	0
USP31	74.888889	0	0	0	136	0	212	145	0	181	0
SGCA	74.888889	0	0	0	179	0	198	0	0	297	0
RABGAP1	74.888889	0	0	0	0	0	0	181	0	493	0
KMT2C	74.888889	0	0	0	0	0	552	0	0	122	0
HNRNPC	74.888889	0	0	0	130	0	71	0	0	473	0
ERGIC1	74.888889	0	0	0	0	0	0	175	0	499	0
CAPN2	74.888889	0	0	0	0	0	100	207	0	367	0
TAP2	74.777778	0	0	0	119	0	171	0	0	383	0
SLC23A3	74.777778	0	0	129	0	0	125	0	0	419	0
RETREG2	74.777778	0	0	129	0	0	125	0	0	419	0
NRROS	74.777778	0	0	0	118	0	178	0	0	377	0
CNPPD1	74.777778	0	0	129	0	0	125	0	0	419	0
TXNL4A	74.666667	120	0	0	121	0	140	0	0	291	0
RBFA	74.666667	120	0	0	121	0	140	0	0	291	0
PCDHGC4	74.666667	118	0	0	0	0	0	335	0	219	0
PCDHGC3	74.666667	118	0	0	0	0	0	335	0	219	0
CSRP2	74.666667	0	0	0	127	0	0	0	0	545	0
ACLY	74.666667	0	0	0	0	0	110	0	0	562	0
GABRQ	74.555556	0	0	0	0	0	227	0	0	444	0
ABT1	74.555556	0	0	0	155	0	252	0	0	264	0
ZNF34	74.444444	0	0	0	0	0	146	0	0	524	0
WDR74	74.444444	0	0	207	0	0	182	0	0	281	0
STX5	74.444444	0	0	207	0	0	182	0	0	281	0
SOS1	74.444444	0	0	0	251	0	259	0	0	160	0
SLX4	74.444444	0	0	0	224	0	271	0	0	175	0
POLR3E	74.444444	0	0	102	0	0	158	0	0	410	0
PATZ1	74.444444	0	0	0	0	0	143	100	0	427	0
NAMPT	74.444444	0	0	0	104	0	316	0	0	250	0
FDXACB1	74.444444	0	0	0	0	0	264	0	0	406	0
EIF4A1	74.444444	0	0	130	0	0	80	0	0	460	0
C11orf1	74.444444	0	0	0	0	0	264	0	0	406	0
ALG9	74.444444	0	0	0	0	0	264	0	0	406	0
TPP1	74.333333	0	0	0	0	0	144	0	0	525	0
PPP3CB	74.333333	0	0	0	0	0	254	0	0	415	0
NFKBIA	74.333333	170	0	0	0	0	140	0	0	359	0
KLF2	74.333333	0	0	0	130	0	0	0	0	539	0
ZC3H12C	74.222222	0	0	0	147	0	157	0	0	364	0
PPP4R2	74.222222	0	0	0	0	0	346	0	0	322	0
MTERF1	74.222222	0	0	127	0	0	230	113	0	198	0
TCAIM	74.111111	0	0	0	159	0	215	0	0	293	0
SLC16A7	74.111111	0	0	0	138	0	0	0	0	529	0
HHIPL1	74.111111	0	0	0	0	0	0	0	0	667	0
CCDC85C	74.111111	0	0	0	0	0	0	0	0	667	0
UPF2	74.000000	0	0	0	0	0	190	0	0	476	0
SHPK	74.000000	0	0	136	0	0	102	0	0	428	0
MEAK7	74.000000	0	0	0	0	0	143	0	0	523	0
GALP	74.000000	0	0	0	0	0	0	0	0	666	0
CTNS	74.000000	0	0	136	0	0	102	0	0	428	0
CLCN7	74.000000	0	0	0	131	0	390	0	0	145	0
PLOD1	73.888889	0	0	0	0	0	136	0	0	529	0
KIAA2013	73.888889	0	0	0	0	0	136	0	0	529	0
VRK2	73.777778	0	0	0	244	0	213	0	0	207	0
SBNO2	73.777778	0	0	275	0	0	0	0	0	389	0
PRELID2	73.777778	0	0	0	0	0	389	0	0	275	0
NDUFC2-KCTD14	73.777778	0	0	95	305	0	157	107	0	0	0
NDUFC2	73.777778	0	0	95	305	0	157	107	0	0	0
LPIN2	73.777778	0	0	0	0	0	149	0	0	515	0
GNA11	73.777778	147	0	0	0	0	184	0	0	333	0
THRA	73.666667	0	0	0	0	0	0	128	0	535	0
KREMEN1	73.666667	0	0	0	0	0	0	0	0	663	0
IFT46	73.666667	0	0	116	0	0	0	205	0	342	0
C22orf31	73.666667	0	0	0	0	0	0	0	0	663	0
ARCN1	73.666667	0	0	116	0	0	0	205	0	342	0
RPL31	73.555556	0	0	0	159	0	210	0	0	293	0
LEMD2	73.555556	0	0	71	0	0	386	0	0	205	0
LAMP1	73.555556	115	0	0	208	0	232	0	0	107	0
DBP	73.555556	0	0	0	155	0	0	0	0	507	0
CDK16	73.555556	0	0	0	0	0	153	0	0	509	0
CCNJ	73.555556	81	0	115	0	0	0	0	0	466	0
CA11	73.555556	0	0	0	155	0	0	0	0	507	0
ADRM1	73.555556	0	0	0	0	0	163	0	0	499	0
SLC1A3	73.444444	0	0	0	87	0	0	0	0	574	0
RARS1	73.444444	0	0	0	0	0	181	0	0	480	0
PRDX1	73.444444	0	0	0	0	0	302	0	0	359	0
PARN	73.444444	0	0	0	218	0	153	0	0	290	0
FSTL3	73.444444	98	0	0	0	0	251	0	0	312	0
BFAR	73.444444	0	0	0	218	0	153	0	0	290	0
ATE1	73.444444	0	0	0	110	0	199	0	0	352	0
ZCCHC2	73.333333	0	0	0	190	0	266	0	0	204	0
ZC3H11A	73.333333	0	0	0	0	0	144	0	0	516	0
ZBED6	73.333333	0	0	0	0	0	144	0	0	516	0
SVIP	73.333333	0	0	0	161	0	222	171	0	106	0
SPRTN	73.333333	0	0	109	0	0	173	155	0	223	0
SMAD5	73.333333	0	0	0	145	0	151	0	0	364	0
QRICH1	73.333333	0	0	131	0	0	180	0	0	349	0
FKBP4	73.333333	129	0	0	0	0	101	0	0	430	0
EXOC8	73.333333	0	0	109	0	0	173	155	0	223	0
ECHDC1	73.333333	136	0	89	0	0	115	0	0	320	0
COMMD2	73.333333	0	0	0	199	0	188	94	0	179	0
CHFR	73.333333	0	0	0	0	0	136	0	0	524	0
XKR5	73.222222	286	0	0	238	135	0	0	0	0	0
TNNC1	73.222222	0	0	0	0	0	178	0	0	481	0
RRP9	73.222222	0	0	74	0	0	134	0	0	451	0
RPGR	73.222222	0	0	0	228	0	115	0	0	316	0
RBM45	73.222222	0	0	131	0	0	269	0	0	259	0
RAP2B	73.222222	0	0	0	0	0	255	0	0	404	0
PDE11A	73.222222	0	0	131	0	0	269	0	0	259	0
PARP3	73.222222	0	0	74	0	0	134	0	0	451	0
FLVCR2	73.222222	0	0	0	0	0	0	0	0	659	0
FAM98B	73.222222	0	0	151	131	0	190	0	0	187	0
ECSIT	73.222222	0	0	0	0	0	270	0	0	389	0
CNN1	73.222222	0	0	0	0	0	270	0	0	389	0
UQCC3	73.111111	0	0	0	0	0	181	0	0	477	0
SLC35F6	73.111111	0	0	0	161	0	169	0	0	328	0
NXPH3	73.111111	0	0	0	0	0	205	0	0	453	0
NCBP2AS2	73.111111	0	0	0	0	0	309	0	0	349	0
NCBP2	73.111111	0	0	0	0	0	309	0	0	349	0
LBHD1	73.111111	0	0	0	0	0	181	0	0	477	0
CSKMT	73.111111	0	0	0	0	0	181	0	0	477	0
CMTM3	73.111111	0	0	0	0	0	0	168	0	490	0
C11orf98	73.111111	0	0	0	0	0	181	0	0	477	0
SMARCA5	73.000000	0	0	0	0	0	215	0	0	442	0
SLC37A4	73.000000	0	0	0	178	0	222	0	0	257	0
RSRP1	73.000000	0	0	99	0	0	309	0	0	249	0
WFDC3	72.888889	0	0	134	0	0	233	0	0	289	0
SSBP4	72.888889	0	0	0	0	0	223	0	0	433	0
SNX22	72.888889	0	0	175	0	0	125	0	0	356	0
PSMC5	72.888889	0	0	0	94	0	143	0	0	419	0
FTSJ3	72.888889	0	0	0	94	0	143	0	0	419	0
DNTTIP1	72.888889	0	0	134	0	0	233	0	0	289	0
ZNF384	72.777778	0	0	0	170	0	165	0	0	320	0
HOXA4	72.777778	202	0	0	0	0	0	0	0	453	0
HOXA3	72.777778	202	0	0	0	0	0	0	0	453	0
C15orf40	72.777778	0	0	0	138	0	194	0	0	323	0
TTLL7	72.666667	0	0	0	0	0	151	0	0	503	0
PRKN	72.666667	0	0	0	0	0	160	0	0	494	0
PKD2L2	72.666667	0	0	0	302	0	352	0	0	0	0
PACRG	72.666667	0	0	0	0	0	160	0	0	494	0
NIPSNAP3A	72.666667	0	0	0	134	0	0	0	0	520	0
GOLGA7	72.666667	0	0	68	108	0	183	0	0	295	0
FBXW2	72.666667	0	0	0	144	0	287	0	0	223	0
ASIC3	72.666667	0	0	0	0	0	146	214	0	294	0
ANKLE2	72.666667	0	0	0	0	0	206	0	0	448	0
WDSUB1	72.555556	0	0	0	0	0	173	0	0	480	0
TMX4	72.555556	0	0	0	79	0	162	0	0	412	0
QRFPR	72.555556	0	0	0	0	0	0	0	0	653	0
OTUD3	72.555556	0	0	0	100	0	315	0	0	238	0
MYADM	72.555556	0	0	0	0	0	257	0	0	396	0
GOLGB1	72.555556	0	0	0	106	0	0	214	0	333	0
GABPA	72.555556	0	0	0	92	0	164	0	0	397	0
FEM1A	72.555556	0	0	98	0	0	126	0	0	429	0
ATP5PF	72.555556	0	0	0	92	0	164	0	0	397	0
WDR4	72.444444	0	0	0	99	0	368	0	0	185	0
DENND6A	72.444444	0	0	0	243	0	226	0	0	183	0
TEN1	72.333333	0	0	0	0	0	123	0	0	528	0
NKIRAS2	72.333333	0	0	0	0	0	170	0	0	481	0
MOB4	72.333333	124	0	118	122	0	119	0	0	168	0
DPY19L4	72.333333	0	0	0	178	0	217	0	0	256	0
DNAJC7	72.333333	0	0	0	0	0	170	0	0	481	0
